"gene" "phase"
"1" "NCAPD2" "G2/M"
"2" "ANLN" "G2/M"
"3" "TACC3" "G2/M"
"4" "RFC2" "S"
"5" "RAD51" "S"
"6" "HMMR" "G2/M"
"7" "MCM2" "S"
"8" "TIPIN" "S"
"9" "GTSE1" "G2/M"
"10" "MCM6" "S"
"11" "UNG" "S"
"12" "POLD3" "S"
"13" "NDC80" "G2/M"
"14" "AURKB" "G2/M"
"15" "TPX2" "G2/M"
"16" "CDC45" "S"
"17" "CDC6" "S"
"18" "CBX5" "G2/M"
"19" "MSH2" "S"
"20" "MCM5" "S"
"21" "RANGAP1" "G2/M"
"22" "POLA1" "S"
"23" "CTCF" "G2/M"
"24" "MCM4" "S"
"25" "RAD51AP1" "S"
"26" "GMNN" "S"
"27" "TTK" "G2/M"
"28" "SMC4" "G2/M"
"29" "ECT2" "G2/M"
"30" "CENPA" "G2/M"
"31" "CDC20" "G2/M"
"32" "NEK2" "G2/M"
"33" "CENPF" "G2/M"
"34" "RPA2" "S"
"35" "CASP8AP2" "S"
"36" "HELLS" "S"
"37" "TMPO" "G2/M"
"38" "CKS2" "G2/M"
"39" "DLGAP5" "G2/M"
"40" "GINS2" "S"
"41" "TOP2A" "G2/M"
"42" "PCNA" "S"
"43" "NASP" "S"
"44" "CKAP2" "G2/M"
"45" "NUSAP1" "G2/M"
"46" "KIF23" "G2/M"
"47" "KIF11" "G2/M"
"48" "KIF20B" "G2/M"
"49" "CENPE" "G2/M"
"50" "KIF2C" "G2/M"
"51" "DTL" "S"
"52" "LBR" "G2/M"
"53" "MKI67" "G2/M"
"54" "ATAD2" "S"
"55" "CCNB1" "G2/M"
"56" "CHAF1B" "S"
"57" "USP1" "S"
"58" "HMGB2" "G2/M"
"59" "RRM1" "S"
"60" "FEN1" "S"
"61" "BUB1" "G2/M"
"62" "CDK1" "G2/M"
"63" "RRM2" "S"
"64" "CKS1B" "G2/M"
"65" "EXO1" "S"
"66" "UBE2U" "G2/M"
"67" "CKAP5" "G2/M"
"68" "CCNE2" "S"
"69" "TYMS" "S"
"70" "TUBB4B" "G2/M"
"71" "HN1" "G2/M"
"72" "BLM" "S"
"73" "PRIM1" "S"
"74" "UHRF1" "S"
