CM027243.1,NC_051772.1
CM027244.1,NC_051773.1
CM027245.1,NC_051774.1
CM027246.1,NC_051775.1
CM027247.1,NC_051776.1
CM027248.1,NC_051777.1
CM027249.1,NC_051778.1
CM027250.1,NC_051779.1
CM027251.1,NC_051780.1
CM027252.1,NC_051781.1
CM027253.1,NC_051782.1
CM027254.1,NC_051783.1
CM027255.1,NC_051784.1
CM027256.1,NC_051785.1
CM027257.1,NC_051786.1
CM027258.1,NC_051787.1
CM027259.1,NC_051788.1
CM027260.1,NC_051789.1
CM027261.1,NC_051790.1
CM027262.1,NC_051791.1
CM027263.1,NC_051792.1
CM027264.1,NC_051793.1
CM027265.1,NC_051794.1
CM027266.1,NC_051795.1
CM027267.1,NC_051796.1
CM027268.1,NC_051797.1
CM027269.1,NC_051798.1
CM027270.1,NC_051799.1
CM027271.1,NC_051800.1
CM027273.1,NC_051801.1
CM027274.1,NC_051802.1
CM027275.1,NC_051803.1
CM027272.1,NC_051804.1
